H\A
      0     1     2     3     4     5     6     7     8     9
  0 -0.35  0.22  0.79  1.36  1.93  2.50  3.07  3.64  4.21  4.78
  1  0.05  0.62  1.19  1.76  2.33  2.90  3.47  4.04  4.61  5.18
  2  0.45  1.02  1.59  2.16  2.73  3.30  3.87  4.44  5.01  5.58
  3  0.85  1.42  1.99  2.56  3.13  3.70  4.27  4.84  5.41  5.98
  4  1.25  1.82  2.39  2.96  3.53  4.10  4.67  5.24  5.81  6.38
  5  1.65  2.22  2.79  3.36  3.93  4.50  5.07  5.64  6.21  6.78
  6  2.05  2.62  3.19  3.76  4.33  4.90  5.47  6.04  6.61  7.18
  7  2.45  3.02  3.59  4.16  4.73  5.30  5.87  6.44  7.01  7.58
  8  2.85  3.42  3.99  4.56  5.13  5.70  6.27  6.84  7.41  7.98
  9  3.25  3.82  4.39  4.96  5.53  6.10  6.67  7.24  7.81  8.38
